Rank,Highest,Highest Date,Highest ONI Mode,Lowest,Lowest Date,Lowest ONI Mode,Zone,ONI max,ONI min
1,0.458,2020-12-15 15:00,La Nina,-0.831,2011-03-11 16:00,La Nina,GMT,-1.19,-0.93
2,0.447,2019-12-25 14:00,Neutral,-0.768,2011-03-18 20:00,La Nina,GMT,0.55,-0.93
3,0.44,2017-08-21 01:00,Neutral,-0.765,1994-03-29 21:00,Neutral,GMT,-0.11,0.17
4,0.428,2021-12-05 15:00,La Nina,-0.748,2010-02-28 20:00,El Nino,GMT,-0.98,1.22
5,0.423,2020-07-20 02:00,Neutral,-0.745,2009-05-24 19:00,Neutral,GMT,-0.41,0.01
6,0.415,2020-11-15 14:00,La Nina,-0.744,2002-02-26 07:00,Neutral,GMT,-1.27,0.03
7,0.411,2020-10-19 16:00,La Nina,-0.743,2010-04-27 19:00,Neutral,GMT,-1.17,0.35
8,0.41,2017-06-24 02:00,Neutral,-0.739,2011-12-25 07:00,La Nina,GMT,0.31,-1.04
9,0.406,2020-07-05 02:00,Neutral,-0.739,2013-04-25 19:00,Neutral,GMT,-0.41,-0.3
10,0.401,2019-08-02 03:00,Neutral,-0.738,1998-07-06 17:00,La Nina,GMT,0.14,-0.78
